#Release 10.1.03 - par K.39 (nt)
#Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

#Wed Dec 02 20:53:57 2009

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       AFG3000_FPGA_map.ncd
#OUTPUT FILE:      AFG3000_FPGA_pad.csv
#PART TYPE:        xc3s1400a
#SPEED GRADE:      -4
#PACKAGE:          fg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,,
A2,,DIFFSTB,IO_L36N_0/PUDC_B,UNUSED,,0,,,,,,,,,,
A3,KD_Bus<1>,IOB,IO_L33P_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
A4,Key_INT,IOB,IO_L31P_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
A5,AD9224_CLK,IOB,IO_L28N_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
A6,AD9224_IN<1>,IBUF,IO_L26N_0,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,,NO,NONE,
A7,AD9224_IN<2>,IBUF,IO_L26P_0,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,,NO,NONE,
A8,,DIFFSTB,IO_L22N_0,UNUSED,,0,,,,,,,,,,
A9,,DIFFMTB,IO_L22P_0,UNUSED,,0,,,,,,,,,,
A10,,DIFFMTB,IO_L21P_0,UNUSED,,0,,,,,,,,,,
A11,ARB_CLK_TB,IOB,IO_L18N_0/GCLK7,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
A12,,DIFFMTB,IO_L18P_0/GCLK6,UNUSED,,0,,,,,,,,,,
A13,AM_DA9747_Data<11>,IOB,IO_L16N_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
A14,AM_DA9747_Data<7>,IOB,IO_L13N_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
A15,AM_DA9747_Data<2>,IOB,IO_L12N_0/VREF_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
A16,AM_DA9747_Data<0>,IOB,IO_L12P_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
A17,DA9747_Data<10>,IOB,IO_L10N_0,OUTPUT,LVCMOS33,0,6,FAST,NONE**,,,LOCATED,,NO,NONE,
A18,DA9747_Data<6>,IOB,IO_L05N_0,OUTPUT,LVCMOS33,0,6,FAST,NONE**,,,LOCATED,,NO,NONE,
A19,DA9747_Data<3>,IOB,IO_L06N_0,OUTPUT,LVCMOS33,0,6,FAST,NONE**,,,LOCATED,,NO,NONE,
A20,DA9747_Data<1>,IOB,IO_L03N_0,OUTPUT,LVCMOS33,0,6,FAST,NONE**,,,LOCATED,,NO,NONE,
A21,,,TCK,,,,,,,,,,,,,
A22,,,GND,,,,,,,,,,,,,
AA1,,DIFFMLR,IO_L45P_3,UNUSED,,3,,,,,,,,,,
AA2,,DIFFSLR,IO_L45N_3,UNUSED,,3,,,,,,,,,,
AA3,,DIFFSTB,IO_L03N_2,UNUSED,,2,,,,,,,,,,
AA4,,DIFFSTB,IO_L04N_2,UNUSED,,2,,,,,,,,,,
AA5,,,VCCO_2,,,2,,,,,3.30,,,,,
AA6,,DIFFMTB,IO_L08P_2,UNUSED,,2,,,,,,,,,,
AA7,,,GND,,,,,,,,,,,,,
AA8,MOD_SOUT_SEL<0>,IOB,IO_L12P_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AA9,,,VCCO_2,,,2,,,,,3.30,,,,,
AA10,,DIFFMTB,IO_L15P_2,UNUSED,,2,,,,,,,,,,
AA11,,,GND,,,,,,,,,,,,,
AA12,DA9747_CLKP,DIFFMTB,IO_L19P_2/GCLK0,OUTPUT,LVDS_33,2,,,NONE**,,,LOCATED,,NO,NONE,
AA13,,,VCCO_2,,,2,,,,,3.30,,,,,
AA14,,DIFFMTB,IO_L22P_2,UNUSED,,2,,,,,,,,,,
AA15,,DIFFSTB,IO_L24N_2/DOUT,UNUSED,,2,,,,,,,,,,
AA16,,,GND,,,,,,,,,,,,,
AA17,DAC7821_Data<10>,IOB,IO_L28P_2/D2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AA18,,,VCCO_2,,,2,,,,,3.30,,,,,
AA19,Relay_Ctrl_Words<4>,IOB,IO_L32N_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AA20,,DIFFSTB,IO_L36N_2/CCLK,UNUSED,,2,,,,,,,,,,
AA21,MODWAVE_RWbar,IOB,IO_L35N_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AA22,NWE,IBUF,IO_L01P_1/HDC,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
AB1,,,GND,,,,,,,,,,,,,
AB2,,DIFFMTB,IO_L03P_2,UNUSED,,2,,,,,,,,,,
AB3,,DIFFMTB,IO_L04P_2,UNUSED,,2,,,,,,,,,,
AB4,,DIFFMTB,IO_L06P_2,UNUSED,,2,,,,,,,,,,
AB5,,DIFFSTB,IO_L06N_2,UNUSED,,2,,,,,,,,,,
AB6,,DIFFSTB,IO_L08N_2,UNUSED,,2,,,,,,,,,,
AB7,,DIFFSTB,IO_L10N_2,UNUSED,,2,,,,,,,,,,
AB8,,DIFFSTB,IO_L12N_2,UNUSED,,2,,,,,,,,,,
AB9,,DIFFSTB,IO_L14N_2/D6,UNUSED,,2,,,,,,,,,,
AB10,,DIFFSTB,IO_L15N_2,UNUSED,,2,,,,,,,,,,
AB11,,DIFFSTB,IO_L16N_2/D4,UNUSED,,2,,,,,,,,,,
AB12,DA9747_CLKN,DIFFSTB,IO_L19N_2/GCLK1,OUTPUT,LVDS_33,2,,,NONE**,,,LOCATED,,NO,NONE,
AB13,,DIFFMTB,IO_L21P_2,UNUSED,,2,,,,,,,,,,
AB14,,DIFFSTB,IO_L22N_2/MOSI/CSI_B,UNUSED,,2,,,,,,,,,,
AB15,,DIFFMTB,IO_L24P_2/AWAKE,UNUSED,,2,,,,,,,,,,
AB16,DAC7821_Data<8>,IOB,IO_L27P_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AB17,DAC7821_Data<2>,IOB,IO_L29P_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AB18,DAC7821_Data<3>,IOB,IO_L29N_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AB19,Relay_Ctrl_Words<5>,IOB,IO_L32P_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AB20,,DIFFMTB,IO_L36P_2/D0/DIN/MISO,UNUSED,,2,,,,,,,,,,
AB21,MODWAVE_CSbar,IOB,IO_L35P_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AB22,,,GND,,,,,,,,,,,,,
B1,,DIFFMLR,IO_L02P_3,UNUSED,,3,,,,,,,,,,
B2,,DIFFMTB,IO_L36P_0/VREF_0,UNUSED,,0,,,,,,,,,,
B3,KD_Bus<0>,IOB,IO_L33N_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
B4,,DIFFSTB,IO_L31N_0,UNUSED,,0,,,,,,,,,,
B5,,,VCCO_0,,,0,,,,,3.30,,,,,
B6,AD9224_IN<0>,IBUF,IO_L28P_0,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,,NO,NONE,
B7,,,GND,,,,,,,,,,,,,
B8,AD9224_IN<3>,IBUF,IO_L25P_0,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,,NO,NONE,
B9,AD9224_IN<4>,IBUF,IO_L24P_0,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,,NO,NONE,
B10,,,VCCO_0,,,0,,,,,3.30,,,,,
B11,,DIFFMTB,IO_L19P_0/GCLK8,UNUSED,,0,,,,,,,,,,
B12,,,GND,,,,,,,,,,,,,
B13,AM_DA9747_Data<10>,IOB,IO_L16P_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
B14,,,VCCO_0,,,0,,,,,3.30,,,,,
B15,AM_DA9747_Data<1>,IOB,IO_L13P_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
B16,,,GND,,,,,,,,,,,,,
B17,DA9747_Data<9>,IOB,IO_L10P_0,OUTPUT,LVCMOS33,0,6,FAST,NONE**,,,LOCATED,,NO,NONE,
B18,,,VCCO_0,,,0,,,,,3.30,,,,,
B19,DA9747_Data<2>,IOB,IO_L06P_0/VREF_0,OUTPUT,LVCMOS33,0,6,FAST,NONE**,,,LOCATED,,NO,NONE,
B20,DA9747_Data<0>,IOB,IO_L03P_0,OUTPUT,LVCMOS33,0,6,FAST,NONE**,,,LOCATED,,NO,NONE,
B21,ARB_EDDS_SIN,IBUF,IO_L45N_1/A23,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
B22,EXT_MODU_SIN,IBUF,IO_L45P_1/A22,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
C1,,DIFFMLR,IO_L01P_3,UNUSED,,3,,,,,,,,,,
C2,,DIFFSLR,IO_L02N_3,UNUSED,,3,,,,,,,,,,
C3,,,GND,,,,,,,,,,,,,
C4,,,PROG_B,,,,,,,,,,,,,
C5,,DIFFMTB,IO_L32P_0,UNUSED,,0,,,,,,,,,,
C6,AD9224_IN<6>,IBUF,IO_L29P_0,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,,NO,NONE,
C7,AD9224_IN<8>,IBUF,IO_L27N_0,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,,NO,NONE,
C8,AD9224_IN<10>,IBUF,IO_L25N_0,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,,NO,NONE,
C9,,DIFFSTB,IO_L24N_0/VREF_0,UNUSED,,0,,,,,,,,,,
C10,,DIFFSTB,IO_L21N_0,UNUSED,,0,,,,,,,,,,
C11,,DIFFSTB,IO_L19N_0/GCLK9,UNUSED,,0,,,,,,,,,,
C12,Reset,IBUF,IO_L17P_0/GCLK4,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,,NO,NONE,
C13,AM_DA9747_Data<12>,IOB,IO_L15N_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
